Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
ВолгСпорт1;5257116711;4-01-20468-P;27.01.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJC6;RU000A0JRJC6;1000;RUR;04.04.2022;0;16.12.2011;04.04.2022;05.04.2011;1000;0;1000;1400000000;8,82;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1400000;1400000;1400000000;0;1000;333;602;
СамарОбл 7;6315802231;RU35007SAM0;20.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJF9;RU000A0JRJF9;100;RUR;30.11.2016;0;08.12.2011;;08.06.2011;99,25;99,25;99,85;1210850000;0,14;555590,7;99,85;99,85;99,85;8,43;07.09.2016;08.09.2016;EQOB;12200000;12200000;1220000000;99,85;99,85;84;99,22;
ЗСД 02;7825392577;4-02-00350-D;21.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJL7;RU000A0JRJL7;1000;RUR;13.05.2031;0;23.05.2012;13.05.2031;14.06.2011;0;0;999;0;28,32;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;999;0;600,1;
iРОСНАНО 1;7728131587;4-01-55477-E;12.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJN3;RU000A0JRJN3;1000;RUR;20.12.2017;0;12.04.2013;20.12.2017;12.05.2011;0;0;958,4000000000001;0;18,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;8000000;8000000;8000000000;0;958,4000000000001;0;960;
iРОСНАНО 2;7728131587;4-02-55477-E;12.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJP8;RU000A0JRJP8;1000;RUR;20.12.2017;0;12.04.2013;20.12.2017;12.05.2011;0;0;963,8;0;18,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;963,8;0;962;
iРОСНАНО 3;7728131587;4-03-55477-E;12.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRJQ6;RU000A0JRJQ6;1000;RUR;20.12.2017;0;12.04.2013;20.12.2017;12.05.2011;985,5;0;989,9;14782500000;18,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;989,9;446;978,5;
Мечел 17об;7703370008;4-17-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRJS2;RU000A0JRJS2;930;RUR;27.05.2021;0;23.06.2011;27.05.2021;20.06.2011;795,7080000000001;796,917;799,428;3978540000,0000005;35,06;604039,47;781,2;812,2620000000001;794,964;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;4650000000;809,0070000000001;799,428;809;797,0100000000001;
Мечел 18об;7703370008;4-18-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRJT0;RU000A0JRJT0;930;RUR;27.05.2021;0;23.06.2011;27.05.2021;20.06.2011;804,357;0;799,8000000000001;4021785000;35,06;0;799,8000000000001;804,45;802,59;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;4650000000;799,8000000000001;799,8000000000001;812;797,2890000000001;
ННК-Актив4;7704233903;4-04-65014-D;24.06.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRJV6;RU000A0JRJV6;1000;RUR;01.06.2021;0;24.04.2012;01.06.2021;28.06.2011;902,8;902,2;906;4514000000;32,77;765951,7;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;906;90;896;09.12.2016
Мечел 19об;7703370008;4-19-55005-E;10.08.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRJY0;RU000A0JRJY0;930;RUR;01.06.2021;0;23.06.2011;01.06.2021;20.06.2011;799,8930000000001;799,707;803,7990000000001;3999465000,0000005;33,57;1154034,97;790,5930000000001;804,45;802,869;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;4650000000;803,7990000000001;803,7990000000001;813;797,475;
ННК-Актив6;7704233903;4-06-65014-D;24.06.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRK22;RU000A0JRK22;1000;RUR;04.06.2021;0;24.04.2012;04.06.2021;04.08.2011;918,9;915,8;920;6432300000;31,7;2483750,4;0;0;0;0;07.09.2016;08.09.2016;EQOB;7000000;5000000;7000000000;0;920;93;900;14.12.2016
СПбТел 01;7815020097;4-01-00740-D;19.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRKC4;RU000A0JRKC4;1000;RUR;11.06.2021;0;24.06.2011;24.06.2011;14.07.2011;1017,6999999999999;1017,3000000000001;1018;5088500000;25,27;34156072;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1018;591;1005;20.06.2018
СПбТел 02;7815020097;4-02-00740-D;19.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRKD2;RU000A0JRKD2;1000;RUR;11.06.2021;0;24.06.2011;24.06.2011;14.07.2011;1027,5;0;1030,4;5137500000;25,39;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1030,4;877;1005;19.06.2019
СПбТел 03;7815020097;4-03-00740-D;19.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRKM3;RU000A0JRKM3;1000;RUR;11.06.2021;0;24.06.2011;24.06.2011;14.07.2011;1030,1000000000001;1029,8;1030,5;3090300000,0000005;25,39;121034717,1;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1030,5;877;1000;19.06.2019
КузбЭнрФ01;7730639579;4-01-36401-R;07.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRKN1;RU000A0JRKN1;1000;RUR;14.06.2021;0;26.07.2011;14.06.2021;14.07.2011;953,5;0;981,3;9535000000;23,81;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;981,3;275;0;22.06.2017
ФСК ЕЭС-13;4716016979;4-13-65018-D;07.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRL96;RU000A0JRL96;1000;RUR;22.06.2021;0;05.07.2011;05.07.2011;26.07.2011;960;0;960;9600000000;16,53;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;960;1442;956;
РСХБ 14;7725114488;41403349B;11.02.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRLE8;RU000A0JRLE8;1000;RUR;29.06.2021;0;11.07.2012;29.06.2021;18.07.2011;1010,3;1009,2;1011,2;10103000000;21,74;950691,9;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1011,2;118;1006,3;11.01.2017
РСХБ 12;7725114488;41203349B;11.02.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRMB2;RU000A0JRMB2;1000;RUR;01.07.2021;0;11.07.2012;01.07.2021;18.07.2011;1007,2;0;1009;5036000000;21,06;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1009;120;1001,5999999999999;11.01.2017
РСХБ 13;7725114488;41303349B;11.02.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRMC0;RU000A0JRMC0;1000;RUR;02.07.2021;0;11.07.2012;02.07.2021;18.07.2011;1009,5;0;1007,5;5047500000;20,72;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1007,5;121;1000,4000000000001;11.01.2017
АИЖК-11 А2;7743799749;4-02-75188-H;23.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRMW8;RU000A0JRMW8;487,51;RUR;15.09.2043;0;24.08.2011;15.09.2043;04.08.2011;0;0;497,2602;0;10,1;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;7457000;7457000;3635362070;0;497,2602;0;0;
ФСК ЕЭС-19;4716016979;4-19-65018-D;07.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRMX6;RU000A0JRMX6;1000;RUR;06.07.2023;0;21.07.2011;21.07.2011;26.07.2011;975,3;0;977,5;19506000000;11,98;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;20000000;20000000;20000000000;0;977,5;637;977;18.07.2018
ЮнКр 01-ИП;7710030411;40700001B;28.07.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRSK0;RU000A0JRSK0;1000;RUR;07.09.2016;0;14.09.2011;14.09.2011;22.09.2011;1003,3;0;1000;5016500000;0;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;0;
ВТБ24 2ИПА;7710353606;40801623B;01.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRSW5;RU000A0JRSW5;350,11;RUR;26.11.2043;0;24.11.2011;26.11.2043;17.10.2011;0;0;0;0;1,04;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3333300;3333300;1167021663;0;0;0;350,46011;
ВТБ24 2ИПБ;7710353606;40901623B;01.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRSX3;RU000A0JRSX3;350,13;RUR;26.11.2043;0;24.11.2011;26.11.2043;17.10.2011;0;0;350,13;0;0,35;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1666700;1666700;583561671;0;350,13;0;210,183039;
ВЭБ 10;7750004150;4-10-00004-T;05.10.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRTN2;RU000A0JRTN2;1000;RUR;21.09.2021;0;29.11.2011;21.09.2021;08.11.2011;0;0;983,5;0;37,73;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;983,5;0;982,5;27.09.2016
Uranium 01;9909350496;;06.10.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRTS1;RU000A0JRTS1;1000;RUR;24.11.2021;0;14.12.2011;24.11.2021;;0;0;995;0;26,18;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;16500000;14300000;16500000000;0;995;0;995;15.12.2016
Uranium 02;9909350496;;10.11.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRTT9;RU000A0JRTT9;1000;RUR;11.08.2023;0;06.09.2013;11.08.2023;02.09.2013;955,6999999999999;0;966,8000000000001;11946250000;5,34;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;12500000;12500000;12500000000;0;966,8000000000001;1206;962,5;19.08.2020
СЗКК 03;7709756135;4-01-36388-R;01.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRU20;RU000A0JRU20;1000;RUR;26.09.2031;0;15.12.2011;26.09.2031;29.11.2011;1003;0;1003;5015000000;43,94;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1003;37;0;09.10.2020
СЗКК 04;7709756135;4-02-36388-R;01.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRU46;RU000A0JRU46;1000;RUR;26.09.2031;0;15.12.2011;26.09.2031;29.11.2011;1003;0;1003;5015000000;43,94;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1003;37;0;09.10.2020
Ремпутьмш1;4029032450;4-01-55167-E;18.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRUR1;RU000A0JRUR1;1000;RUR;20.10.2016;0;27.10.2011;27.10.2011;08.11.2011;0;0;1000;0;32,37;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2300000;2300000;2300000000;0;1000;0;0;
ФСК ЕЭС-15;4716016979;4-15-65018-D;07.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRUS9;RU000A0JRUS9;1000;RUR;12.10.2023;0;09.11.2011;12.10.2023;03.11.2011;0;0;986,8000000000001;0;33,32;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;986,8000000000001;0;936;24.10.2018
ВЭБлизинг8;7709413138;4-08-43801-H;23.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRUY7;RU000A0JRUY7;1000;RUR;19.10.2021;0;30.11.2011;19.10.2021;24.11.2011;999,5;999,5;998,5;4997500000;45,52;59590265,6;998;999;998,3;13,89;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;998,5;998,5;48;995,1;28.10.2016
ВЭБлизинг9;7709413138;4-09-43801-H;23.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRV52;RU000A0JRV52;1000;RUR;20.10.2021;0;30.11.2011;20.10.2021;24.11.2011;999,4;0;1000;4997000000;45,18;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;49;981;31.10.2016
РСХБ 15;7725114488;41503349B;11.02.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRVN8;RU000A0JRVN8;1000;RUR;26.10.2021;0;06.11.2012;26.10.2021;15.11.2011;1012,0999999999999;1012,0999999999999;1012,0999999999999;10121000000;38,27;109524044;1011,5;1015;1012,2;10,07;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;1012,0999999999999;1012,0999999999999;391;1011,5;02.11.2017
Дельта08ИП;7705285534;40803338B;09.03.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRVQ1;RU000A0JRVQ1;1000;RUR;02.11.2016;0;07.12.2011;02.11.2016;30.11.2011;1004,9;0;1007;5024500000;40,56;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1007;56;606,7;
СПбТел 07;7815020097;4-07-00740-D;19.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRVU3;RU000A0JRVU3;1000;RUR;05.04.2022;0;28.05.2012;05.04.2022;15.05.2012;1014;1013,8;1014;6084000000;51,7;40977982,9;1014;1014;1014;10,47;07.09.2016;08.09.2016;EQOB;6000000;6000000;6000000000;1014;1014;205;1015;14.04.2017
